Star Number,Image 1 x,Image 1 y,Image 2 x,Image 2 y,Brightness,Radius
1,891,1163,713,951,0.000992326531559229,64.28160858154297
2,651,1548,807,934,0.00026389508275315166,37.20000076293945
3,1105,201,133,369,0.0011270714458078146,44.6400032043457
4,492,303,712,951,0.0005770103307440877,44.6400032043457
5,891,1160,338,1323,0.003308228449895978,37.20000076293945
6,650,1548,808,935,0.00011544927110662684,44.6400032043457
7,702,1182,340,1324,0.00013058792683295906,111.0786361694336
8,809,1336,440,1327,2.1738094346801518e-07,111.0786361694336
9,421,689,310,511,1.2709060115412285e-07,92.5655288696289
10,584,1282,1049,1538,1.368772063869983e-05,53.5680046081543
11,584,1283,862,1042,3.6207759421813535e-06,64.28160858154297
12,584,1281,711,950,7.376301596195844e-07,77.137939453125
13,808,1336,760,508,6.081455921957968e-06,77.137939453125
14,809,1337,626,495,1.6382356307076407e-06,92.5655288696289
15,744,1176,132,987,6.382465926435543e-06,31.0
16,492,303,886,1226,1.5607567547704093e-05,77.137939453125
17,719,1283,576,512,1.4714875362642488e-07,92.5655288696289
18,700,1183,772,1026,0.0023607013281434774,31.0
19,703,1185,861,432,0.00264540733769536,31.0
20,892,1161,775,1413,0.00013612283510155976,92.5655288696289
21,157,416,887,1226,1.6370768207707442e-05,31.0
22,705,1184,652,182,0.0017628628993406892,31.0
23,1057,189,776,1412,0.00031908703385852277,37.20000076293945
24,921,1203,861,432,6.341592961689457e-05,37.20000076293945
25,594,277,976,1397,6.981510068726493e-06,44.6400032043457
26,420,690,575,513,2.2307681319944095e-06,64.28160858154297
27,719,1283,656,1005,4.565526126043551e-07,77.137939453125
28,492,301,938,1362,3.990423465438653e-06,92.5655288696289
29,595,279,939,1362,3.738079249160364e-05,31.0
30,894,1160,651,183,0.001641670591197908,31.0
31,850,323,713,949,4.702006322077068e-07,53.5680046081543
32,719,1283,657,1004,2.944752623079694e-06,64.28160858154297
33,740,464,93,954,4.1944807094296266e-07,31.0
34,810,1337,777,1414,2.5269368052249774e-05,64.28160858154297
35,156,416,700,1135,2.165464138670359e-06,44.6400032043457
36,810,1337,133,368,0.00021421232668217272,44.6400032043457
37,1146,78,1048,1537,5.251908419268148e-07,31.0
38,356,1165,913,273,7.25468589735101e-06,31.0
39,994,1430,572,1557,1.091762783289596e-06,31.0
40,355,1164,913,272,2.7558899091673084e-06,37.20000076293945
41,259,1263,938,1361,5.836853347318538e-07,31.0
42,920,1201,888,436,2.8660650741585414e-07,77.137939453125
43,490,300,1072,117,7.123449563550821e-07,111.0786361694336
44,157,416,725,1002,5.913781933486462e-06,37.20000076293945
45,920,1204,308,510,1.473171437282872e-06,64.28160858154297
46,990,63,588,438,1.6402242408730672e-06,31.0
47,961,1489,913,271,3.9472965340792143e-07,31.0
48,92,999,627,496,3.3333407145619276e-07,31.0
49,851,322,619,1229,1.8462476418790175e-06,44.6400032043457
50,1055,189,713,951,9.403691478837573e-07,77.137939453125
51,733,1432,860,430,3.394406178358622e-07,31.0
52,595,278,336,1322,1.6337306078639813e-05,37.20000076293945
53,206,1344,60,928,9.837692687142408e-07,31.0
54,992,85,862,431,5.132875458002673e-07,31.0
55,791,113,658,1526,6.599068456125678e-07,31.0
56,1120,1535,943,1361,9.871005204331595e-07,31.0
57,1167,319,913,271,1.4702077066885977e-07,31.0
58,957,1057,117,1535,1.4238023595680716e-06,37.20000076293945
