Star Number,x,y,Brightness,Radius
1,888,436,0.0010296715190634131,16.0
2,1073,117,2.5120078134932555e-05,16.0
3,773,1026,0.00015236927720252424,16.0
4,613,171,0.0005499300314113498,16.0
5,653,183,8.022908332350198e-06,16.0
6,984,269,1.0897887250393978e-06,16.0
7,913,273,0.0002807722776196897,16.0
8,223,356,7.88646957516903e-06,16.0
9,133,369,0.004235419910401106,16.0
10,862,432,0.0001385669020237401,16.0
11,658,1005,0.00017702076002024114,16.0
12,588,438,8.961060871115478e-07,16.0
13,627,496,5.7012890465557575e-05,16.0
14,761,509,8.57052896208188e-07,16.0
15,311,511,0.0004644679429475218,16.0
16,577,514,0.0002481974079273641,16.0
17,725,1002,4.383265604701592e-06,16.0
18,370,846,2.1634264157910366e-06,16.0
19,132,988,5.3526928240899e-06,16.0
20,809,936,0.0023252065293490887,16.0
21,733,947,1.647798967496783e-06,16.0
22,713,951,0.004145355895161629,16.0
23,93,954,0.00016800902085378766,16.0
24,988,1045,3.7772282666992396e-05,16.0
25,288,1088,0.00013930945715401322,16.0
26,700,1135,0.0002649775124154985,16.0
27,736,1223,1.775005330273416e-05,16.0
28,888,1227,0.0011714769061654806,16.0
29,619,1230,4.839050234295428e-05,16.0
30,337,1323,0.005009043030440807,16.0
31,340,1324,0.006016477942466736,16.0
32,441,1328,0.00024769289302639663,16.0
33,943,1361,4.219173206365667e-05,16.0
34,939,1362,0.00012701265222858638,16.0
35,978,1397,5.493715070770122e-05,16.0
36,777,1408,2.510571175662335e-05,16.0
37,596,1391,8.543644298697473e-07,16.0
38,157,113,5.153694928594632e-07,16.0
39,862,1042,5.01603437896847e-07,16.0
40,331,586,4.803291631105822e-07,16.0
41,336,1323,0.0004651154449675232,48.0
42,711,951,1.669149423833005e-05,48.0
43,807,933,1.5110137610463426e-05,48.0
44,888,435,1.2657737897825427e-05,48.0
45,699,1134,9.839482117968146e-06,48.0
46,309,510,6.108373327151639e-06,48.0
47,441,1326,3.5138543807988754e-06,48.0
48,576,513,6.969486889829568e-07,48.0
49,627,495,6.62809554796695e-07,48.0
50,735,1221,5.360793693398591e-07,48.0
51,912,270,5.292826017466723e-07,48.0
52,288,1086,4.0386277078141575e-07,48.0
53,861,432,3.0620324764640827e-07,48.0
